1-0-3-7-5-8	万
1-5-4-5-9-2	把
1-5-4-5-9-3	投
1-5-4-5-9-4	报
1-5-4-5-9-5	拆
1-5-4-5-9-6	拌
1-5-4-5-9-7	拓
1-5-4-5-9-8	拖
1-5-4-5-9-9	拥
1-5-4-6-0-0	括
1-5-4-6-0-1	拷
1-5-4-6-0-2	拼
1-5-4-6-0-3	挎
1-5-4-6-0-4	挑
1-5-4-6-0-5	挡
1-5-4-6-0-6	捉
1-5-4-6-0-7	捎
1-5-4-6-0-8	损
1-5-4-6-0-9	捡
1-5-4-6-1-0	掀
1-5-4-6-1-1	採
1-5-4-6-1-2	接
1-5-4-6-1-3	掺
1-5-4-6-1-4	揍
1-5-4-6-1-5	提
1-5-4-6-1-6	揣
1-5-4-6-1-7	搜
1-5-4-6-1-8	搞
1-5-4-6-1-9	搬
1-5-4-6-2-0	搭
1-5-4-6-2-1	搽
1-5-4-6-2-2	摆
1-5-4-6-2-3	摔
1-5-4-6-2-4	摸
1-5-4-6-2-5	撅
1-5-4-6-2-6	撩
1-5-4-6-2-7	撬
1-5-4-6-2-8	撮
1-5-4-6-2-9	攒
1-5-4-6-3-0	妆
1-5-4-6-3-1	改
1-5-4-6-3-2	放
1-5-4-6-3-3	政
1-5-4-6-3-4	救
1-5-4-6-3-5	敖
1-5-4-6-3-6	敗
1-5-4-6-3-7	教
1-5-4-6-3-8	数
1-5-4-6-3-9	整
1-5-4-6-4-0	断
1-5-4-6-4-1	方
1-5-4-6-4-2	旗
1-5-4-6-4-3	日
1-5-4-6-4-4	旧
1-5-4-6-4-5	昂
1-5-4-6-4-6	易
1-5-4-6-4-7	昨
1-5-4-6-4-8	是
1-5-4-6-4-9	昱
1-5-4-6-5-0	晒
1-5-4-6-5-1	晕
1-5-4-6-5-2	晟
1-5-4-6-5-3	晰
1-5-4-6-5-4	暂
1-5-4-6-5-5	暑
1-5-4-6-5-6	暨
1-5-4-6-5-7	曙
1-5-4-6-5-8	曦
1-5-4-6-5-9	曼
1-5-4-6-6-0	曾
1-5-4-6-6-1	替
1-5-4-6-6-2	會
1-5-4-6-6-3	服
1-5-4-6-6-4	朔
1-5-4-6-6-5	朕
1-5-4-6-6-6	木
1-5-4-6-6-7	未
1-5-4-6-6-8	朱
1-5-4-6-6-9	机
1-5-4-6-7-0	杀
1-5-4-6-7-1	杂
1-5-4-6-7-2	村
1-5-4-6-7-3	杖
1-5-4-6-7-4	杜
1-5-4-6-7-5	束
1-5-4-6-7-6	杯
1-5-4-6-7-7	杰
1-5-4-6-7-8	果
1-5-4-6-7-9	枝
1-5-4-6-8-0	枣
1-5-4-6-8-1	架
1-5-4-6-8-2	柱
1-5-4-6-8-3	柳
1-5-4-6-8-4	柸
1-5-4-6-8-5	标
1-5-4-6-8-6	树
1-5-4-6-8-7	校
1-5-4-6-8-8	样
1-5-4-6-8-9	桂
1-5-4-6-9-0	案
1-5-4-6-9-1	桦
1-5-4-6-9-2	烫
1-5-4-6-9-3	梨
1-5-4-6-9-4	检
1-5-4-6-9-5	棒
1-5-4-6-9-6	椒
1-5-4-6-9-7	楠
1-5-4-6-9-8	楼
1-5-4-6-9-9	榕
1-5-4-7-0-0	榜
1-5-4-7-0-1	槐
1-5-4-7-0-2	槡
1-5-4-7-0-3	橱
1-5-4-7-0-4	櫃
1-5-4-7-0-5	次
1-5-4-7-0-6	欢
1-5-4-7-0-7	歆
1-5-4-7-0-8	歇
1-5-4-7-0-9	武
1-5-4-7-1-0	死
1-5-4-7-1-1	歼
1-5-4-7-1-2	每
1-5-4-7-1-3	毓
1-5-4-7-1-4	毛
1-5-4-7-1-5	毳
1-5-4-7-1-6	民
1-5-4-7-1-7	气
1-5-4-7-1-8	氯
1-5-4-7-1-9	汀
1-5-4-7-2-0	求
1-5-4-7-2-1	汗
1-5-4-7-2-2	江
1-5-4-7-2-3	池
1-5-4-7-2-4	污
1-5-4-7-2-5	沁
1-5-4-7-2-6	沙
1-5-4-7-2-7	沟
1-5-4-7-2-8	没
1-5-4-7-2-9	沧
1-5-4-7-3-0	沪
1-5-4-7-3-1	沬
1-5-4-7-3-2	油
1-5-4-7-3-3	沾
1-5-4-7-3-4	泡
1-5-4-7-3-5	泪
1-5-4-7-3-6	泰
1-5-4-7-3-7	沷
1-5-4-7-3-8	洪
1-5-4-7-3-9	洺
1-5-4-7-4-0	流
1-5-4-7-4-1	浇
1-5-4-7-4-2	测
1-5-4-7-4-3	浏
1-5-4-7-4-4	浩
1-5-4-7-4-5	海
1-5-4-7-4-6	涛
1-5-4-7-4-7	润
1-5-4-7-4-8	涨
1-5-4-7-4-9	淋
1-5-4-7-5-0	淌
1-5-4-7-5-1	淑
1-5-4-7-5-2	淡
1-5-4-7-5-3	淮
1-5-4-7-5-4	添
1-5-4-7-5-5	淼
1-5-4-7-5-6	渔
1-5-4-7-5-7	渗
1-5-4-7-5-8	渣
1-5-4-7-5-9	温
1-5-4-7-6-0	港
1-5-4-7-6-1	游
1-5-4-7-6-2	湖
1-5-4-7-6-3	源
1-5-4-7-6-4	溪
1-5-4-7-6-5	滚
1-5-4-7-6-6	滠
1-5-4-7-6-7	滤
1-5-4-7-6-8	滴
1-5-4-7-6-9	漏
1-5-4-7-7-0	漫
1-5-4-7-7-1	潮
1-5-4-7-7-2	澄
1-5-4-7-7-3	濠
1-5-4-7-7-4	火
1-5-4-7-7-5	灭
1-5-4-7-7-6	灵
1-5-4-7-7-7	炕
1-5-4-7-7-8	炭
1-5-4-7-7-9	炮
1-5-4-7-8-0	炳
1-5-4-7-8-1	点
1-5-4-7-8-2	炼
1-5-4-7-8-3	烈
1-5-4-7-8-4	烤
1-5-4-7-8-5	烧
1-5-4-7-8-6	烫
1-5-4-7-8-7	热
1-5-4-7-8-8	焊
1-5-4-7-8-9	焦
1-5-4-7-9-0	焱
1-5-4-7-9-1	熙
1-5-4-7-9-2	煜
1-5-4-7-9-3	煤
1-5-4-7-9-4	照
1-5-4-7-9-5	煮
1-5-4-7-9-6	熟
1-5-4-7-9-7	熹
1-5-4-7-9-8	燥
1-5-4-7-9-9	爵
1-5-4-8-0-0	爸
1-5-4-8-0-1	版
1-5-4-8-0-2	牙
1-5-4-8-0-3	牡
1-5-4-8-0-4	牵
1-5-4-8-0-5	特
1-5-4-8-0-6	犇
1-5-4-8-0-7	犟
1-5-4-8-0-8	狂
1-5-4-8-0-9	狗
1-5-4-8-1-0	狱
1-5-4-8-1-1	猜
1-5-4-8-1-2	猪
1-5-4-8-1-3	猴
1-5-4-8-1-4	王
1-5-4-8-1-5	玮
1-5-4-8-1-6	玻
1-5-4-8-1-7	珉
1-5-4-8-1-8	珏
1-5-4-8-1-9	球
1-5-4-8-2-0	琦
1-5-4-8-2-1	琨
1-5-4-8-2-2	琯
1-5-4-8-2-3	璠
1-5-4-8-2-4	瓮
1-5-4-8-2-5	甜
1-5-4-8-2-6	用
1-5-4-8-2-7	甭
1-5-4-8-2-8	田
1-5-4-8-2-9	男
1-5-4-8-3-0	画
1-5-4-8-3-1	畅
1-5-4-8-3-2	留
1-5-4-8-3-3	略
1-5-4-8-3-4	番
1-5-4-8-3-5	疯
1-5-4-8-3-6	疲
1-5-4-8-3-7	疼
1-5-4-8-3-8	病
1-5-4-8-3-9	症
1-5-4-8-4-0	瘤
1-5-4-8-4-1	瘦
1-5-4-8-4-2	發
1-5-4-8-4-3	白
1-5-4-8-4-4	百
1-5-4-8-4-5	皆
1-5-4-8-4-6	皖
1-5-4-8-4-7	盒
1-5-4-8-4-8	盖
1-5-4-8-4-9	盘
1-5-4-8-5-0	盯
1-5-4-8-5-1	直
1-5-4-8-5-2	盼
1-5-4-8-5-3	明
1-5-4-8-5-4	真
1-5-4-8-5-5	着
1-5-4-8-5-6	睁
1-5-4-8-5-7	睇
1-5-4-8-5-8	睡
1-5-4-8-5-9	睿
1-5-4-8-6-0	瞓
1-5-4-8-6-1	瞧
1-5-4-8-6-2	瞿
1-5-4-8-6-3	矩
1-5-4-8-6-4	短
1-5-4-8-6-5	砂
1-5-4-8-6-6	砒
1-5-4-8-6-7	砸
1-5-4-8-6-8	硕
1-5-4-8-6-9	碗
1-5-4-8-7-0	碰
1-5-4-8-7-1	磊
1-5-4-8-7-2	磨
1-5-4-8-7-3	礼
1-5-4-8-7-4	神
1-5-4-8-7-5	祥
1-5-4-8-7-6	禁
1-5-4-8-7-7	私
1-5-4-8-7-8	䄭
1-5-4-8-7-9	秋
1-5-4-8-8-0	种
1-5-4-8-8-1	科
1-5-4-8-8-2	秒
1-5-4-8-8-3	秘
1-5-4-8-8-4	程
1-5-4-8-8-5	稻
1-5-4-8-8-6	空
1-5-4-8-8-7	穿
1-5-4-8-8-8	竟
1-5-4-8-8-9	筝
1-5-4-8-9-0	笔
1-5-4-8-9-1	笙
1-5-4-8-9-2	等
1-5-4-8-9-3	筑
1-5-4-8-9-4	筹
1-5-4-8-9-5	签
1-5-4-8-9-6	算
1-5-4-8-9-7	箭
1-5-4-8-9-8	篮
1-5-4-8-9-9	篱
1-5-4-9-0-0	籁
1-5-4-9-0-1	类
1-5-4-9-0-2	粗
1-5-4-9-0-3	奥
1-5-4-9-0-4	粮
1-5-4-9-0-5	系
1-5-4-9-0-6	約
1-5-4-9-0-7	紧
1-5-4-9-0-8	紫
1-5-4-9-0-9	累
1-5-4-9-1-0	組
1-5-4-9-1-1	緒
1-5-4-9-1-2	红
1-5-4-9-1-3	纹
1-5-4-9-1-4	绅
1-5-4-9-1-5	绍
1-5-4-9-1-6	绒
1-5-4-9-1-7	绿
1-5-4-9-1-8	编
1-5-4-9-1-9	缬
1-5-4-9-2-0	缭
1-5-4-9-2-1	缺
1-5-4-9-2-2	罐
1-5-4-9-2-3	四
1-5-4-9-2-4	罩
1-5-4-9-2-5	罪
1-5-4-9-2-6	罰
1-5-4-9-2-7	翟
1-5-4-9-2-8	翻
1-5-4-9-2-9	考
1-5-4-9-3-0	耍
1-5-4-9-3-1	耶
1-5-4-9-3-2	聂
1-5-4-9-3-3	聘
1-5-4-9-3-4	聚
1-5-4-9-3-5	聪
1-5-4-9-3-6	聽
1-5-4-9-3-7	肆
1-5-4-9-3-8	肖
1-5-4-9-3-9	肚
1-5-4-9-4-0	肥
1-5-4-9-4-1	肩
1-5-4-9-4-2	肺
1-5-4-9-4-3	胃
1-5-4-9-4-4	胖
1-5-4-9-4-5	胚
1-5-4-9-4-6	胜
1-5-4-9-4-7	胞
1-5-4-9-4-8	胡
1-5-4-9-4-9	㬵
1-5-4-9-5-0	能
1-5-4-9-5-1	脉
1-5-4-9-5-2	脑
1-5-4-9-5-3	腰
1-5-4-9-5-4	膏
1-5-4-9-5-5	膜
1-5-4-9-5-6	臊
1-5-4-9-5-7	臧
1-5-4-9-5-8	臭
1-5-4-9-5-9	船
1-5-4-9-6-0	舰
1-5-4-9-6-1	船
1-5-4-9-6-2	艾
1-5-4-9-6-3	节
1-5-4-9-6-4	芃
1-5-4-9-6-5	芒
1-5-4-9-6-6	芳
1-5-4-9-6-7	苏
1-5-4-9-6-8	苞
1-5-4-9-6-9	苟
1-5-4-9-7-0	若
1-5-4-9-7-1	英
1-5-4-9-7-2	茂
1-5-4-9-7-3	茉
1-5-4-9-7-4	茜
1-5-4-9-7-5	茼
1-5-4-9-7-6	草
1-5-4-9-7-7	药
1-5-4-9-7-8	莫
1-5-4-9-7-9	莹
1-5-4-9-8-0	菅
1-5-4-9-8-1	菊
1-5-4-9-8-2	菌
1-5-4-9-8-3	菡
1-5-4-9-8-4	萝
1-5-4-9-8-5	萤
1-5-4-9-8-6	营
1-5-4-9-8-7	落
1-5-4-9-8-8	葡
1-5-4-9-8-9	薰
1-5-4-9-9-0	蒋
1-5-4-9-9-1	蒜
1-5-4-9-9-2	蔽
1-5-4-9-9-3	薛
1-5-4-9-9-4	虑
1-5-4-9-9-5	虹
1-5-4-9-9-6	虾
1-5-4-9-9-7	蛇
1-5-4-9-9-8	蛙
1-5-4-9-9-9	蛮
1-5-5-0-0-0	蜜
1-5-5-0-0-1	蝈
1-5-5-0-0-2	蝶
1-5-5-0-0-3	蟹
1-5-5-0-0-4	蠓
1-5-5-0-0-5	补
1-5-5-0-0-6	表
1-5-5-0-0-7	衮
1-5-5-0-0-8	裤
1-5-5-0-0-9	褥
1-5-5-0-1-0	西
1-5-5-0-1-1	见
1-5-5-0-1-2	视
1-5-5-0-1-3	角
1-5-5-0-1-4	解
1-5-5-0-1-5	言
1-5-5-0-1-6	調
1-5-5-0-1-7	计
1-5-5-0-1-8	订
1-5-5-0-1-9	让
1-5-5-0-2-0	记
1-5-5-0-2-1	论
1-5-5-0-2-2	设
1-5-5-0-2-3	诋
1-5-5-0-2-4	试
1-5-5-0-2-5	诗
1-5-5-0-2-6	话
1-5-5-0-2-7	诠
1-5-5-0-2-8	语
1-5-5-0-2-9	诺
1-5-5-0-3-0	谁
1-5-5-0-3-1	调
1-5-5-0-3-2	谊
1-5-5-0-3-3	谭
1-5-5-0-3-4	谷
1-5-5-0-3-5	豹
1-5-5-0-3-6	贝
1-5-5-0-3-7	贡
1-5-5-0-3-8	货
1-5-5-0-3-9	购
1-5-5-0-4-0	贴
1-5-5-0-4-1	贵
1-5-5-0-4-2	贷
1-5-5-0-4-3	贺
1-5-5-0-4-4	赏
1-5-5-0-4-5	赢
1-5-5-0-4-6	赴
1-5-5-0-4-7	起
1-5-5-0-4-8	超
1-5-5-0-4-9	越
1-5-5-0-5-0	趟
1-5-5-0-5-1	跑
1-5-5-0-5-2	跳
1-5-5-0-5-3	踢
1-5-5-0-5-4	踪
1-5-5-0-5-5	踹
1-5-5-0-5-6	蹦
1-5-5-0-5-7	蹭
1-5-5-0-5-8	身
1-5-5-0-5-9	轧
1-5-5-0-6-0	转
1-5-5-0-6-1	软
1-5-5-0-6-2	轶
1-5-5-0-6-3	较
1-5-5-0-6-4	辅
1-5-5-0-6-5	迁
1-5-5-0-6-6	过
1-5-5-0-6-7	迈
1-5-5-0-6-8	运
1-5-5-0-6-9	近
1-5-5-0-7-0	返
1-5-5-0-7-1	还
1-5-5-0-7-2	这
1-5-5-0-7-3	连
1-5-5-0-7-4	迟
1-5-5-0-7-5	追
1-5-5-0-7-6	适
1-5-5-0-7-7	选
1-5-5-0-7-8	逝
1-5-5-0-7-9	速
1-5-5-0-8-0	逢
1-5-5-0-8-1	逮
1-5-5-0-8-2	遍
1-5-5-0-8-3	遙
1-5-5-0-8-4	遮
1-5-5-0-8-5	還
1-5-5-0-8-6	邢
1-5-5-0-8-7	那
1-5-5-0-8-8	邬
1-5-5-0-8-9	邵
1-5-5-0-9-0	邹
1-5-5-0-9-1	郁
1-5-5-0-9-2	郃
1-5-5-0-9-3	郭
1-5-5-0-9-4	郬
1-5-5-0-9-5	配
1-5-5-0-9-6	酔
1-5-5-0-9-7	酱
1-5-5-0-9-8	酸
1-5-5-0-9-9	醋
1-5-5-1-0-0	醩
1-5-5-1-0-1	重
1-5-5-1-0-2	量
1-5-5-1-0-3	金
1-5-5-1-0-4	針
1-5-5-1-0-5	钇
1-5-5-1-0-6	钎
1-5-5-1-0-7	钓
1-5-5-1-0-8	钙
1-5-5-1-0-9	钢
1-5-5-1-1-0	钩
1-5-5-1-1-1	钯
1-5-5-1-1-2	铁
1-5-5-1-1-3	铂
1-5-5-1-1-4	铜
1-5-5-1-1-5	铝
1-5-5-1-1-6	铡
1-5-5-1-1-7	银
1-5-5-1-1-8	锅
1-5-5-1-1-9	锚
1-5-5-1-2-0	锤
1-5-5-1-2-1	镁
1-5-5-1-2-2	镇
1-5-5-1-2-3	镯
1-5-5-1-2-4	闔
1-5-5-1-2-5	门
1-5-5-1-2-6	问
1-5-5-1-2-7	闯
1-5-5-1-2-8	间
1-5-5-1-2-9	闹
1-5-5-1-3-0	阳
1-5-5-1-3-1	际
1-5-5-1-3-2	陆
1-5-5-1-3-3	降
1-5-5-1-3-4	限
1-5-5-1-3-5	除
1-5-5-1-3-6	陬
1-5-5-1-3-7	陵
1-5-5-1-3-8	隆
1-5-5-1-3-9	随
1-5-5-1-4-0	障
1-5-5-1-4-1	集
1-5-5-1-4-2	雒
1-5-5-1-4-3	雨
1-5-5-1-4-4	雪
1-5-5-1-4-5	零
1-5-5-1-4-6	雷
1-5-5-1-4-7	需
1-5-5-1-4-8	霍
1-5-5-1-4-9	静
1-5-5-1-5-0	非
1-5-5-1-5-1	靠
1-5-5-1-5-2	韦
1-5-5-1-5-3	韩
1-5-5-1-5-4	韭
1-5-5-1-5-5	頔
1-5-5-1-5-6	額
1-5-5-1-5-7	页
1-5-5-1-5-8	顶
1-5-5-1-5-9	项
1-5-5-1-6-0	顺
1-5-5-1-6-1	风
1-5-5-1-6-2	飘
1-5-5-1-6-3	飙
1-5-5-1-6-4	餐
1-5-5-1-6-5	饭
1-5-5-1-6-6	饮
1-5-5-1-6-7	饶
1-5-5-1-6-8	馍
1-5-5-1-6-9	馕
1-5-5-1-7-0	香
1-5-5-1-7-1	馨
1-5-5-1-7-2	馮
1-5-5-1-7-3	驰
1-5-5-1-7-4	骁
1-5-5-1-7-5	骄
1-5-5-1-7-6	骗
1-5-5-1-7-7	骚
1-5-5-1-7-8	骢
1-5-5-1-7-9	骨
1-5-5-1-8-0	魂
1-5-5-1-8-1	鶸
1-5-5-1-8-2	鸠
1-5-5-1-8-3	鸡
1-5-5-1-8-4	鹏
1-5-5-1-8-5	麟
1-5-5-1-8-6	黎
1-5-5-1-8-7	黏
1-5-5-1-8-8	鼎
1-5-5-1-8-9	鼓
1-5-5-1-9-0	齁
1-5-5-1-9-1	齐
1-5-5-1-9-2	䶰
1-5-5-1-9-3	一
1-5-5-1-9-4	七
1-5-5-1-9-5	万
1-5-5-1-9-6	三
1-5-5-1-9-7	上
1-5-5-1-9-8	不
1-5-5-1-9-9	且
1-5-5-2-0-0	世
1-5-5-2-0-1	丙
1-5-5-2-0-2	业
1-5-5-2-0-3	东
1-5-5-2-0-4	丝
1-5-5-2-0-5	个
1-5-5-2-0-6	Y
1-5-5-2-0-7	中
1-5-5-2-0-8	丰
1-5-5-2-0-9	串
1-5-5-2-1-0	丽
1-5-5-2-1-1	久
1-5-5-2-1-2	乎
1-5-5-2-1-3	乐
1-5-5-2-1-4	书
1-5-5-2-1-5	买
1-5-5-2-1-6	予
1-5-5-2-1-7	争
1-5-5-2-1-8	事
1-5-5-2-1-9	二
1-5-5-2-2-0	于
1-5-5-2-2-1	亏
1-5-5-2-2-2	亓
1-5-5-2-2-3	亖
1-5-5-2-2-4	亚
1-5-5-2-2-5	些
1-5-5-2-2-6	亦
1-5-5-2-2-7	亮
1-5-5-2-2-8	今
1-5-5-2-2-9	从
1-5-5-2-3-0	仑
1-5-5-2-3-1	仓
1-5-5-2-3-2	仗
1-5-5-2-3-3	付
1-5-5-2-3-4	仙
1-5-5-2-3-5	代
1-5-5-2-3-6	仨
1-5-5-2-3-7	价
1-5-5-2-3-8	份
1-5-5-2-3-9	企
1-5-5-2-4-0	优
1-5-5-2-4-1	伙
1-5-5-2-4-2	会
1-5-5-2-4-3	传
1-5-5-2-4-4	伤
1-5-5-2-4-5	伱
1-5-5-2-4-6	伴
1-5-5-2-4-7	似
1-5-5-2-4-8	位
1-5-5-2-4-9	低
1-5-5-2-5-0	佳
1-5-5-2-5-1	佐
1-5-5-2-5-2	佑
1-5-5-2-5-3	体
1-5-5-2-5-4	佛
1-5-5-2-5-5	佟
1-5-5-2-5-6	佣
1-5-5-2-5-7	佬
1-5-5-2-5-8	佳
1-5-5-2-5-9	例
1-5-5-2-6-0	供
1-5-5-2-6-1	依
1-5-5-2-6-2	促
1-5-5-2-6-3	俯
1-5-5-2-6-4	倒
1-5-5-2-6-5	值
1-5-5-2-6-6	假
1-5-5-2-6-7	健
1-5-5-2-6-8	偶
1-5-5-2-6-9	催
1-5-5-2-7-0	傲
1-5-5-2-7-1	傻
1-5-5-2-7-2	傾
1-5-5-2-7-3	儿
1-5-5-2-7-4	兄
1-5-5-2-7-5	入
1-5-5-2-7-6	六
1-5-5-2-7-7	兰
1-5-5-2-7-8	共
1-5-5-2-7-9	关
1-5-5-2-8-0	兵
1-5-5-2-8-1	册
1-5-5-2-8-2	再
1-5-5-2-8-3	军
1-5-5-2-8-4	冯
1-5-5-2-8-5	冰
1-5-5-2-8-6	冷
1-5-5-2-8-7	冻
1-5-5-2-8-8	冼
1-5-5-2-8-9	净
1-5-5-2-9-0	准
1-5-5-2-9-1	减
1-5-5-2-9-2	凑
1-5-5-2-9-3	几
1-5-5-2-9-4	凡
1-5-5-2-9-5	凤
1-5-5-2-9-6	凯
1-5-5-2-9-7	凸
1-5-5-2-9-8	凹
1-5-5-2-9-9	出
1-5-5-3-0-0	函
1-5-5-3-0-1	刁
1-5-5-3-0-2	分
1-5-5-3-0-3	切
1-5-5-3-0-4	则
1-5-5-3-0-5	创
1-5-5-3-0-6	初
1-5-5-3-0-7	判
1-5-5-3-0-8	别
1-5-5-3-0-9	刮
1-5-5-3-1-0	刷
1-5-5-3-1-1	刹
1-5-5-3-1-2	剂
1-5-5-3-1-3	剋
1-5-5-3-1-4	前
1-5-5-3-1-5	剑
1-5-5-3-1-6	剧
1-5-5-3-1-7	剩
1-5-5-3-1-8	剪
1-5-5-3-1-9	副
1-5-5-3-2-0	力
1-5-5-3-2-1	励
1-5-5-3-2-2	券
1-5-5-3-2-3	勺
1-5-5-3-2-4	化
1-5-5-3-2-5	北
1-5-5-3-2-6	匝
1-5-5-3-2-7	千
1-5-5-3-2-8	协
1-5-5-3-2-9	南
1-5-5-3-3-0	博
1-5-5-3-3-1	占
1-5-5-3-3-2	卡
1-5-5-3-3-3	卫
1-5-5-3-3-4	即
1-5-5-3-3-5	卷
1-5-5-3-3-6	卸
1-5-5-3-3-7	厅
1-5-5-3-3-8	压
1-5-5-3-3-9	原
1-5-5-3-4-0	厢
1-5-5-3-4-1	县
1-5-5-3-4-2	参
1-5-5-3-4-3	及
1-5-5-3-4-4	犮
1-5-5-3-4-5	取
1-5-5-3-4-6	古
1-5-5-3-4-7	句
1-5-5-3-4-8	只
1-5-5-3-4-9	召
1-5-5-3-5-0	可
1-5-5-3-5-1	台
1-5-5-3-5-2	史
1-5-5-3-5-3	合
1-5-5-3-5-4	吊
1-5-5-3-5-5	向
1-5-5-3-5-6	吓
1-5-5-3-5-7	吕
1-5-5-3-5-8	吗
1-5-5-3-5-9	吵
1-5-5-3-6-0	呗
1-5-5-3-6-1	吼
1-5-5-3-6-2	呃
1-5-5-3-6-3	呐
1-5-5-3-6-4	呗
1-5-5-3-6-5	呛
1-5-5-3-6-6	呜
1-5-5-3-6-7	呢
1-5-5-3-6-8	呦
1-5-5-3-6-9	味
1-5-5-3-7-0	呵
1-5-5-3-7-1	命
1-5-5-3-7-2	咀
1-5-5-3-7-3	和
1-5-5-3-7-4	咸
1-5-5-3-7-5	哇
1-5-5-3-7-6	員
1-5-5-3-7-7	哩
1-5-5-3-7-8	哲
1-5-5-3-7-9	唉
1-5-5-3-8-0	唐
1-5-5-3-8-1	唬
1-5-5-3-8-2	唱
1-5-5-3-8-3	啄
1-5-5-3-8-4	商
1-5-5-3-8-5	啤
1-5-5-3-8-6	啥
1-5-5-3-8-7	啦
1-5-5-3-8-8	啰
1-5-5-3-8-9	啲
1-5-5-3-9-0	啵
1-5-5-3-9-1	喂
1-5-5-3-9-2	喏
1-5-5-3-9-3	喔
1-5-5-3-9-4	喝
1-5-5-3-9-5	嗒
1-5-5-3-9-6	嗨
1-5-5-3-9-7	嗳
1-5-5-3-9-8	嗷
1-5-5-3-9-9	嘆
1-5-5-4-0-0	嘉
1-5-5-4-0-1	嘢
1-5-5-4-0-2	嘿
1-5-5-4-0-3	噎
1-5-5-4-0-4	噗
1-5-5-4-0-5	噢
1-5-5-4-0-6	喷
1-5-5-4-0-7	噶
1-5-5-4-0-8	嚼
1-5-5-4-0-9	回
1-5-5-4-1-0	园
1-5-5-4-1-1	困
1-5-5-4-1-2	圈
1-5-5-4-1-3	團
1-5-5-4-1-4	土
1-5-5-4-1-5	在
1-5-5-4-1-6	均
1-5-5-4-1-7	坑
1-5-5-4-1-8	块
1-5-5-4-1-9	坨
1-5-5-4-2-0	垃
1-5-5-4-2-1	型
1-5-5-4-2-2	垢
1-5-5-4-2-3	域
1-5-5-4-2-4	培
1-5-5-4-2-5	堀
1-5-5-4-2-6	堂
1-5-5-4-2-7	堵
1-5-5-4-2-8	塔
1-5-5-4-2-9	塘
1-5-5-4-3-0	塬
1-5-5-4-3-1	增
1-5-5-4-3-2	墨
1-5-5-4-3-3	墩
1-5-5-4-3-4	壅
1-5-5-4-3-5	声
1-5-5-4-3-6	壳
1-5-5-4-3-7	壶
1-5-5-4-3-8	夏
1-5-5-4-3-9	夕
1-5-5-4-4-0	外
1-5-5-4-4-1	天
1-5-5-4-4-2	夸
1-5-5-4-4-3	夼
1-5-5-4-4-4	桨
1-5-5-4-4-5	套
1-5-5-4-4-6	奥
1-5-5-4-4-7	女
1-5-5-4-4-8	妈
1-5-5-4-4-9	妗
1-5-5-4-5-0	妞
1-5-5-4-5-1	姐
1-5-5-4-5-2	姚
1-5-5-4-5-3	姝
1-5-5-4-5-4	姨
1-5-5-4-5-5	娃
1-5-5-4-5-6	娅
1-5-5-4-5-7	娆
1-5-5-4-5-8	娣
1-5-5-4-5-9	婴
1-5-5-4-6-0	婵
1-5-5-4-6-1	婷
1-5-5-4-6-2	媛
1-5-5-4-6-3	媤
1-5-5-4-6-4	媪
1-5-5-4-6-5	嫁
1-5-5-4-6-6	嫄
1-5-5-4-6-7	嫑
1-5-5-4-6-8	嫖
1-5-5-4-6-9	嫣
1-5-5-4-7-0	嫩
1-5-5-4-7-1	子
1-5-5-4-7-2	孕
1-5-5-4-7-3	字
1-5-5-4-7-4	孙
1-5-5-4-7-5	孟
1-5-5-4-7-6	孬
1-5-5-4-7-7	它
1-5-5-4-7-8	宅
1-5-5-4-7-9	宇
1-5-5-4-8-0	完
1-5-5-4-8-1	官
1-5-5-4-8-2	宜
1-5-5-4-8-3	宝
1-5-5-4-8-4	実
1-5-5-4-8-5	客
1-5-5-4-8-6	冢
1-5-5-4-8-7	宸
1-5-5-4-8-8	寄
1-5-5-4-8-9	密
1-5-5-4-9-0	寇
1-5-5-4-9-1	寨
1-5-5-4-9-2	寳
1-5-5-4-9-3	寸
1-5-5-4-9-4	对
1-5-5-4-9-5	导
1-5-5-4-9-6	対
1-5-5-4-9-7	将
1-5-5-4-9-8	將
1-5-5-4-9-9	尊
1-5-5-5-0-0	小
1-5-5-5-0-1	尖
1-5-5-5-0-2	尧
1-5-5-5-0-3	尹
1-5-5-5-0-4	尺
1-5-5-5-0-5	尾
1-5-5-5-0-6	尿
1-5-5-5-0-7	局
1-5-5-5-0-8	屁
1-5-5-5-0-9	屄
1-5-5-5-1-0	屈
1-5-5-5-1-1	届
1-5-5-5-1-2	屋
1-5-5-5-1-3	屎
1-5-5-5-1-4	展
1-5-5-5-1-5	山
1-5-5-5-1-6	岑
1-5-5-5-1-7	岗
1-5-5-5-1-8	岩
1-5-5-5-1-9	崑
1-5-5-5-2-0	崔
1-5-5-5-2-1	嵇
1-5-5-5-2-2	川
1-5-5-5-2-3	州
1-5-5-5-2-4	左
1-5-5-5-2-5	巨
1-5-5-5-2-6	差
1-5-5-5-2-7	巴
1-5-5-5-2-8	布
1-5-5-5-2-9	帅
1-5-5-5-3-0	师
1-5-5-5-3-1	希
1-5-5-5-3-2	常
1-5-5-5-3-3	年
1-5-5-5-3-4	幷
1-5-5-5-3-5	幸
1-5-5-5-3-6	广
1-5-5-5-3-7	库
1-5-5-5-3-8	应
1-5-5-5-3-9	底
1-5-5-5-4-0	店
1-5-5-5-4-1	庚
